[AXUM] 2023-04-25 04:05:39 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-3 透过TCPIP看HTTP.mp4
[AXUM] 2023-04-25 04:05:39 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-3 透过TCPIP看HTTP.mp4
[AXUM] 2023-04-25 04:05:39 |206|    0ms |   192.168.1.216 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-3 透过TCPIP看HTTP.mp4
[AXUM] 2023-04-25 18:44:01 |200|    4ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 18:44:01 |200|   12ms |       127.0.0.1 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 18:44:01 |200|   17ms |       127.0.0.1 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 18:44:01 |200|    7ms |       127.0.0.1 | GET   /assets/list-8bd9945a.js
[AXUM] 2023-04-25 18:44:01 |200|    3ms |       127.0.0.1 | GET   /assets/list-fc8a65d0.css
[AXUM] 2023-04-25 18:44:01 |200|   15ms |       127.0.0.1 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 18:44:01 |200|    0ms |       127.0.0.1 | GET   /list
[AXUM] 2023-04-25 18:44:01 |200|    3ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:01 |200|    7ms |       127.0.0.1 | GET   /icon/icon.png
[AXUM] 2023-04-25 18:44:01 |200|    6ms |       127.0.0.1 | GET   /video/mksz608-Vue3源码解析，打造自己的Vue3框架，领悟尤大思维精髓【17章完结】/icon.png
[AXUM] 2023-04-25 18:44:01 |200|    4ms |       127.0.0.1 | GET   /video/大话HTTP协议/icon.png
[AXUM] 2023-04-25 18:44:01 |200|    8ms |       127.0.0.1 | GET   /video/NestJS入门到实战前端必学服务端新趋势【完结】/icon.png
[AXUM] 2023-04-25 18:44:01 |200|    8ms |       127.0.0.1 | GET   /video/慕课网-算法与数据结构体系课（MP4）【更多it教程联系微信 itwangzi】/icon.png
[AXUM] 2023-04-25 18:44:03 |200|    3ms |       127.0.0.1 | GET   /assets/video-d6b99e6c.css
